날짜,시가,고가,저가,종가,거래량,거래대금,등락률,ticker
2023-01-02,4255,4305,4055,4115,255843,1064160480,-4.41,027410
2023-01-03,4085,4150,4005,4100,205332,837176860,-0.36,027410
2023-01-04,4110,4205,4095,4155,171901,716908790,1.34,027410
2023-01-05,4150,4285,4150,4230,194512,824163695,1.81,027410
2023-01-06,4190,4265,4165,4225,135673,572135520,-0.12,027410
2023-01-09,4235,4280,4205,4270,172238,732846960,1.07,027410
2023-01-10,4315,4340,4255,4280,154345,662399040,0.23,027410
2023-01-11,4320,4320,4275,4295,135379,582036895,0.35,027410
2023-01-12,4335,4390,4320,4365,274868,1197033950,1.63,027410
2023-01-13,4375,4415,4345,4380,186888,817895355,0.34,027410
2023-01-16,4380,4380,4260,4280,194590,841655710,-2.28,027410
2023-01-17,4255,4285,4155,4165,161015,676040665,-2.69,027410
2023-01-18,4160,4165,4095,4115,135143,556202420,-1.2,027410
2023-01-19,4110,4185,4065,4160,90341,374285810,1.09,027410
2023-01-20,4120,4225,4120,4200,137485,576190955,0.96,027410
2023-01-25,4215,4230,4130,4190,142356,594732620,-0.24,027410
2023-01-26,4165,4205,4140,4205,123350,515839580,0.36,027410
2023-01-27,4210,4220,4135,4170,120754,504100085,-0.83,027410
2023-01-30,4165,4325,4130,4315,260420,1102813760,3.48,027410
2023-01-31,4315,4340,4235,4245,177606,759890985,-1.62,027410
2023-02-01,4255,4270,4185,4240,148195,625299555,-0.12,027410
2023-02-02,4240,4315,4240,4310,171212,734101160,1.65,027410
2023-02-03,4355,4360,4255,4305,166832,717022365,-0.12,027410
2023-02-06,4300,4460,4280,4460,211532,928053110,3.6,027410
2023-02-07,4460,4530,4400,4520,239785,1073021885,1.35,027410
2023-02-08,4525,4555,4435,4460,214373,959782115,-1.33,027410
2023-02-09,4460,4750,4400,4695,726412,3361606590,5.27,027410
2023-02-10,4685,4730,4605,4620,337858,1568807730,-1.6,027410
2023-02-13,4620,4620,4460,4510,242910,1091242590,-2.38,027410
2023-02-14,4480,4545,4470,4515,92356,415801080,0.11,027410
2023-02-15,4515,4550,4455,4490,155768,699648840,-0.55,027410
2023-02-16,4510,4575,4485,4530,158868,718718295,0.89,027410
2023-02-17,4530,4530,4415,4480,97602,436119380,-1.1,027410
2023-02-20,4455,4485,4400,4440,150488,667832500,-0.89,027410
2023-02-21,4500,4630,4500,4540,202241,923606960,2.25,027410
2023-02-22,4525,4750,4485,4700,585592,2735394220,3.52,027410
2023-02-23,4720,4765,4645,4670,239071,1123770945,-0.64,027410
2023-02-24,4685,4690,4600,4650,113625,526085895,-0.43,027410
2023-02-27,4650,4670,4535,4610,107133,491375635,-0.86,027410
2023-02-28,4610,4635,4590,4620,109471,504876500,0.22,027410
2023-03-02,4620,4800,4620,4645,97517,453724645,0.54,027410
2023-03-03,4625,4690,4580,4650,121352,560901080,0.11,027410
2023-03-06,4625,4660,4530,4545,220387,1006791160,-2.26,027410
2023-03-07,4535,4550,4475,4485,165944,745503445,-1.32,027410
2023-03-08,4505,4555,4480,4530,203373,916460400,1.0,027410
2023-03-09,4550,4630,4485,4485,165086,748089825,-0.99,027410
2023-03-10,4485,4560,4470,4485,210668,946893845,0.0,027410
2023-03-13,4485,4485,4345,4370,154145,674765960,-2.56,027410
2023-03-14,4360,4365,4160,4175,149065,629465020,-4.46,027410
2023-03-15,4215,4385,4215,4365,151815,652807010,4.55,027410
2023-03-16,4275,4325,4255,4300,111747,477935325,-1.49,027410
2023-03-17,4270,4330,4265,4290,96158,412430020,-0.23,027410
2023-03-20,4315,4325,4270,4275,64021,274831685,-0.35,027410
2023-03-21,4290,4290,4220,4220,63100,268020200,-1.29,027410
2023-03-22,4225,4235,4185,4190,61531,258565700,-0.71,027410
2023-03-23,4160,4225,4145,4190,80769,338122960,0.0,027410
2023-03-24,4190,4230,4145,4170,80317,335160130,-0.48,027410
2023-03-27,4170,4170,4020,4140,143528,587147000,-0.72,027410
2023-03-28,4125,4265,4085,4225,153776,643476330,2.05,027410
2023-03-29,4250,4465,4190,4375,663214,2883115640,3.55,027410
2023-03-30,4465,4530,4380,4380,256069,1139110365,0.11,027410
2023-03-31,4380,4475,4335,4335,95095,417717245,-1.03,027410
2023-04-03,4355,4525,4260,4520,224171,995444345,4.27,027410
2023-04-04,4505,4530,4430,4480,175773,788694060,-0.88,027410
2023-04-05,4445,4510,4425,4480,122576,547558055,0.0,027410
2023-04-06,4430,4485,4385,4410,96448,428059755,-1.56,027410
2023-04-07,4500,4505,4445,4465,90821,405739190,1.25,027410
2023-04-10,4465,4475,4320,4320,108937,474015075,-3.25,027410
2023-04-11,4320,4380,4220,4355,136426,588642000,0.81,027410
2023-04-12,4355,4450,4345,4390,91411,400447070,0.8,027410
2023-04-13,4390,4540,4250,4495,200976,900379670,2.39,027410
2023-04-14,4495,4545,4475,4500,120760,543532740,0.11,027410
2023-04-17,4525,4575,4465,4565,145060,656335310,1.44,027410
2023-04-18,4565,4580,4490,4510,63753,288635515,-1.2,027410
2023-04-19,4515,4575,4495,4535,95974,435461680,0.55,027410
2023-04-20,4540,4560,4420,4455,120921,541082640,-1.76,027410
2023-04-21,4455,4455,4340,4390,111755,489325700,-1.46,027410
2023-04-24,4350,4395,4255,4260,219327,946065405,-2.96,027410
2023-04-25,4275,4320,4150,4170,256928,1085453810,-2.11,027410
2023-04-26,4190,4245,4080,4150,166947,694608975,-0.48,027410
2023-04-27,4145,4165,4065,4100,86167,353045430,-1.2,027410
2023-04-28,4135,4140,4050,4125,110221,449838380,0.61,027410
2023-05-02,4125,4275,4100,4230,123950,519987930,2.55,027410
2023-05-03,4220,4270,4190,4210,100203,423685180,-0.47,027410
2023-05-04,4280,4320,4160,4200,135559,574306470,-0.24,027410
2023-05-08,4205,4275,4200,4235,76980,326491645,0.83,027410
2023-05-09,4235,4240,4180,4210,39859,167339525,-0.59,027410
2023-05-10,4210,4245,4180,4220,45099,190011790,0.24,027410
2023-05-11,4210,4240,4190,4240,96607,407703935,0.47,027410
2023-05-12,4240,4245,4090,4125,141769,585721940,-2.71,027410
2023-05-15,4075,4175,4075,4165,71647,295009050,0.97,027410
2023-05-16,4165,4185,4105,4105,52382,216617790,-1.44,027410
2023-05-17,4110,4165,4080,4095,123915,511163530,-0.24,027410
2023-05-18,4115,4135,4085,4100,48690,199749090,0.12,027410
2023-05-19,4110,4130,4095,4115,41213,169270430,0.37,027410
2023-05-22,4110,4195,4085,4195,48190,199338655,1.94,027410
2023-05-23,4195,4195,4125,4160,78502,326047325,-0.83,027410
2023-05-24,4160,4230,4120,4200,99175,413331045,0.96,027410
2023-05-25,4205,4255,4170,4200,74761,315335275,0.0,027410
2023-05-26,4200,4235,4125,4140,60212,250370865,-1.43,027410
2023-05-30,4140,4160,4085,4130,72358,298356300,-0.24,027410
2023-05-31,4100,4170,4090,4105,57657,237683585,-0.61,027410
2023-06-01,4105,4125,4075,4080,76244,311826660,-0.61,027410
2023-06-02,4080,4150,4065,4100,65152,266854650,0.49,027410
2023-06-05,4095,4120,4085,4110,33941,139252330,0.24,027410
2023-06-07,4090,4135,4090,4095,62052,254637205,-0.36,027410
2023-06-08,4090,4125,4075,4125,62932,258225305,0.73,027410
2023-06-09,4125,4140,4090,4140,46579,191849310,0.36,027410
2023-06-12,4140,4145,4060,4115,70939,290532485,-0.6,027410
2023-06-13,4115,4125,4080,4090,77388,317176705,-0.61,027410
2023-06-14,4090,4095,4065,4090,70073,285533535,0.0,027410
2023-06-15,4060,4100,4060,4080,74524,304342155,-0.24,027410
2023-06-16,4125,4125,4030,4030,99349,403059345,-1.23,027410
2023-06-19,4020,4030,3970,3975,87798,350338090,-1.36,027410
2023-06-20,3955,4005,3950,3970,85734,339918230,-0.13,027410
