ticker,corp_name,sector,industry,Close,Volume
MMM,3M,Industrials,Industrial Conglomerates,100.410004,3653500.0
MMM,3M,Industrials,Industrial Conglomerates,100.410004,3653500.0
AOS,A. O. Smith,Industrials,Building Products,70.949997,822900.0
AOS,A. O. Smith,Industrials,Building Products,70.949997,822900.0
ABT,Abbott,Health Care,Health Care Equipment,108.510002,6134700.0
ABT,Abbott,Health Care,Health Care Equipment,108.510002,6134700.0
ABBV,AbbVie,Health Care,Pharmaceuticals,134.949997,6463000.0
ABBV,AbbVie,Health Care,Pharmaceuticals,134.949997,6463000.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,297.410004,2826900.0
ACN,Accenture,Information Technology,IT Consulting & Other Services,297.410004,2826900.0
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,83.400002,7865800.0
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,83.400002,7865800.0
ADM,ADM,Consumer Staples,Agricultural Products & Services,73.639999,2511900.0
ADM,ADM,Consumer Staples,Agricultural Products & Services,73.639999,2511900.0
ADBE,Adobe Inc.,Information Technology,Application Software,479.51001,3168700.0
ADBE,Adobe Inc.,Information Technology,Application Software,479.51001,3168700.0
ADP,ADP,Industrials,Human Resource & Employment Services,215.539993,1169600.0
ADP,ADP,Industrials,Human Resource & Employment Services,215.539993,1169600.0
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,67.290001,1990800.0
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,67.290001,1990800.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,20.709999,5520300.0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,20.709999,5520300.0
AFL,Aflac,Financials,Life & Health Insurance,67.580002,1626000.0
AFL,Aflac,Financials,Life & Health Insurance,67.580002,1626000.0
A,Agilent Technologies,Health Care,Health Care Equipment,118.370003,1673400.0
A,Agilent Technologies,Health Care,Health Care Equipment,118.370003,1673400.0
APD,Air Products and Chemicals,Materials,Industrial Gases,286.390015,721200.0
APD,Air Products and Chemicals,Materials,Industrial Gases,286.390015,721200.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,88.449997,1059700.0
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,88.449997,1059700.0
ALK,Alaska Air Group,Industrials,Passenger Airlines,49.959999,961300.0
ALK,Alaska Air Group,Industrials,Passenger Airlines,49.959999,961300.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,225.220001,1688700.0
ALB,Albemarle Corporation,Materials,Specialty Chemicals,225.220001,1688700.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,114.510002,1499300.0
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,114.510002,1499300.0
ALGN,Align Technology,Health Care,Health Care Supplies,331.459991,389400.0
ALGN,Align Technology,Health Care,Health Care Supplies,331.459991,389400.0
ALLE,Allegion,Industrials,Building Products,117.169998,613400.0
ALLE,Allegion,Industrials,Building Products,117.169998,613400.0
LNT,Alliant Energy,Utilities,Electric Utilities,52.970001,1954300.0
LNT,Alliant Energy,Utilities,Electric Utilities,52.970001,1954300.0
ALL,Allstate,Financials,Property & Casualty Insurance,108.959999,1692900.0
ALL,Allstate,Financials,Property & Casualty Insurance,108.959999,1692900.0
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,118.339996,33809100.0
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,118.339996,33809100.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,119.089996,23135600.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,119.089996,23135600.0
MO,Altria,Consumer Staples,Tobacco,44.259998,8997500.0
MO,Altria,Consumer Staples,Tobacco,44.259998,8997500.0
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,127.330002,59878500.0
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,127.330002,59878500.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,9.96,5038400.0
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,9.96,5038400.0
AMD,AMD,Information Technology,Semiconductors,107.510002,68453300.0
AMD,AMD,Information Technology,Semiconductors,107.510002,68453300.0
AEE,Ameren,Utilities,Multi-Utilities,81.980003,743800.0
AEE,Ameren,Utilities,Multi-Utilities,81.980003,743800.0
AAL,American Airlines Group,Industrials,Passenger Airlines,16.440001,19599400.0
AAL,American Airlines Group,Industrials,Passenger Airlines,16.440001,19599400.0
AEP,American Electric Power,Utilities,Electric Utilities,83.779999,3244300.0
AEP,American Electric Power,Utilities,Electric Utilities,83.779999,3244300.0
AXP,American Express,Financials,Consumer Finance,167.110001,2506800.0
AXP,American Express,Financials,Consumer Finance,167.110001,2506800.0
AIG,American International Group,Financials,Property & Casualty Insurance,55.669998,3347800.0
AIG,American International Group,Financials,Property & Casualty Insurance,55.669998,3347800.0
AMT,American Tower,Real Estate,Telecom Tower REITs,188.130005,2308800.0
AMT,American Tower,Real Estate,Telecom Tower REITs,188.130005,2308800.0
AWK,American Water Works,Utilities,Water Utilities,140.229996,2613500.0
AWK,American Water Works,Utilities,Water Utilities,140.229996,2613500.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,319.920013,427900.0
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,319.920013,427900.0
ABC,AmerisourceBergen,Health Care,Health Care Distributors,187.759995,1555400.0
ABC,AmerisourceBergen,Health Care,Health Care Distributors,187.759995,1555400.0
AME,Ametek,Industrials,Electrical Components & Equipment,157.380005,963000.0
AME,Ametek,Industrials,Electrical Components & Equipment,157.380005,963000.0
AMGN,Amgen,Health Care,Biotechnology,224.729996,2565100.0
AMGN,Amgen,Health Care,Biotechnology,224.729996,2565100.0
APH,Amphenol,Information Technology,Electronic Components,80.559998,1616000.0
APH,Amphenol,Information Technology,Electronic Components,80.559998,1616000.0
ADI,Analog Devices,Information Technology,Semiconductors,186.339996,3365800.0
ADI,Analog Devices,Information Technology,Semiconductors,186.339996,3365800.0
ANSS,Ansys,Information Technology,Application Software,316.200012,372600.0
ANSS,Ansys,Information Technology,Application Software,316.200012,372600.0
AON,Aon,Financials,Insurance Brokers,330.390015,788600.0
AON,Aon,Financials,Insurance Brokers,330.390015,788600.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,33.029999,4169000.0
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,33.029999,4169000.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",185.270004,47977400.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",185.270004,47977400.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,139.800003,7254800.0
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,139.800003,7254800.0
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,97.870003,1122000.0
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,97.870003,1122000.0
ACGL,Arch Capital Group,Financials,Reinsurance,71.220001,1374300.0
ACGL,Arch Capital Group,Financials,Reinsurance,71.220001,1374300.0
ANET,Arista Networks,Information Technology,Communications Equipment,150.820007,2748800.0
ANET,Arista Networks,Information Technology,Communications Equipment,150.820007,2748800.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,210.630005,750200.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,210.630005,750200.0
AIZ,Assurant,Financials,Multi-line Insurance,126.360001,605000.0
AIZ,Assurant,Financials,Multi-line Insurance,126.360001,605000.0
T,AT&T,Communication Services,Integrated Telecommunication Services,15.63,28609100.0
T,AT&T,Communication Services,Integrated Telecommunication Services,15.63,28609100.0
ATO,Atmos Energy,Utilities,Gas Utilities,116.349998,590600.0
ATO,Atmos Energy,Utilities,Gas Utilities,116.349998,590600.0
ADSK,Autodesk,Information Technology,Application Software,200.779999,1286900.0
ADSK,Autodesk,Information Technology,Application Software,200.779999,1286900.0
AZO,AutoZone,Consumer Discretionary,Specialty Stores,2476.550049,211900.0
AZO,AutoZone,Consumer Discretionary,Specialty Stores,2476.550049,211900.0
AVB,AvalonBay Communities,Real Estate,Residential REITs,186.020004,605600.0
AVB,AvalonBay Communities,Real Estate,Residential REITs,186.020004,605600.0
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,169.190002,455300.0
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,169.190002,455300.0
AXON,Axon Enterprise,Industrials,Aerospace & Defense,189.630005,868300.0
AXON,Axon Enterprise,Industrials,Aerospace & Defense,189.630005,868300.0
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,30.530001,5417100.0
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,30.530001,5417100.0
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",56.029999,1239800.0
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",56.029999,1239800.0
BAC,Bank of America,Financials,Diversified Banks,28.09,47501600.0
BAC,Bank of America,Financials,Diversified Banks,28.09,47501600.0
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,36.43,3236800.0
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,36.43,3236800.0
BAX,Baxter International,Health Care,Health Care Equipment,44.709999,3957700.0
BAX,Baxter International,Health Care,Health Care Equipment,44.709999,3957700.0
BDX,Becton Dickinson,Health Care,Health Care Equipment,256.48999,653900.0
BDX,Becton Dickinson,Health Care,Health Care Equipment,256.48999,653900.0
WRB,Berkley,Financials,Property & Casualty Insurance,58.66,1012300.0
WRB,Berkley,Financials,Property & Casualty Insurance,58.66,1012300.0
BRKB,Berkshire Hathaway,Financials,Multi-Sector Holdings,,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,81.400002,2447800.0
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,81.400002,2447800.0
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,365.540009,101600.0
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,365.540009,101600.0
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,76.790001,467800.0
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,76.790001,467800.0
BIIB,Biogen,Health Care,Biotechnology,281.579987,833500.0
BIIB,Biogen,Health Care,Biotechnology,281.579987,833500.0
BLK,BlackRock,Financials,Asset Management & Custody Banks,680.169983,403800.0
BLK,BlackRock,Financials,Asset Management & Custody Banks,680.169983,403800.0
BK,BNY Mellon,Financials,Asset Management & Custody Banks,43.029999,3593600.0
BK,BNY Mellon,Financials,Asset Management & Custody Banks,43.029999,3593600.0
BA,Boeing,Industrials,Aerospace & Defense,205.580002,3441700.0
BA,Boeing,Industrials,Aerospace & Defense,205.580002,3441700.0
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,2615.76001,226000.0
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,2615.76001,226000.0
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,45.240002,1900200.0
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,45.240002,1900200.0
BXP,Boston Properties,Real Estate,Office REITs,56.59,3043900.0
BXP,Boston Properties,Real Estate,Office REITs,56.59,3043900.0
BSX,Boston Scientific,Health Care,Health Care Equipment,53.5,6550800.0
BSX,Boston Scientific,Health Care,Health Care Equipment,53.5,6550800.0
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,64.790001,7912100.0
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,64.790001,7912100.0
AVGO,Broadcom Inc.,Information Technology,Semiconductors,821.630005,2136400.0
AVGO,Broadcom Inc.,Information Technology,Semiconductors,821.630005,2136400.0
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,159.910004,353800.0
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,159.910004,353800.0
BRO,Brown & Brown,Financials,Insurance Brokers,66.410004,1003100.0
BRO,Brown & Brown,Financials,Insurance Brokers,66.410004,1003100.0
BFB,Brown–Forman,Consumer Staples,Distillers & Vintners,,
BG,Bunge Limited,Consumer Staples,Agricultural Products & Services,92.879997,1216800.0
BG,Bunge Limited,Consumer Staples,Agricultural Products & Services,92.879997,1216800.0
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,92.559998,843500.0
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,92.559998,843500.0
CDNS,Cadence Design Systems,Information Technology,Application Software,223.009995,1438300.0
CDNS,Cadence Design Systems,Information Technology,Application Software,223.009995,1438300.0
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,46.779999,2795800.0
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,46.779999,2795800.0
CPT,Camden Property Trust,Real Estate,Residential REITs,108.739998,563700.0
CPT,Camden Property Trust,Real Estate,Residential REITs,108.739998,563700.0
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,45.830002,2293200.0
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,45.830002,2293200.0
